Work Group,Location Name,Completed Date,Street Segment IDs
LONG LINE,  LA CROSSE AVE from   S MOPAC EXPY NB  to   <br />SUNDROP VALLEY DR ,6/6/2018 7:56, LA CROSSE AVE (2047173)
LONG LINE, W MARTIN LUTHER KING JR BLVD /  GUADALUPE ST,6/6/2018 8:01, W MARTIN LUTHER KING JR BLVD (2017796)
LONG LINE,  RED RIVER ST from   DAVIS ST  to   <br />W 12TH ST ,6/13/2018 19:27," RED RIVER ST (2018981)
 RED RIVER ST (2018911)
 RED RIVER ST (2019235)
 RED RIVER ST (2018837)
 RED RIVER ST (2018772)
 RED RIVER ST (2018628)
 RED RIVER ST (2018704)
 RED RIVER ST (2019214)
 RED RIVER ST (2018562)
 RED RIVER ST (2041215)
 RED RIVER ST (2041198)
 RED RIVER ST (2041118)"
LONG LINE,  NECHES ST from   4TH ST  to   <br />W 10TH ST ,6/13/2018 19:33," NECHES ST (2018886)
 NECHES ST (2018815)
 NECHES ST (2018610)
 NECHES ST (2018752)
 NECHES ST (2018671)"
LONG LINE,  TRINITY ST from   W CESAR CHAVEZ ST  to   <br />W 12TH ST ,6/13/2018 19:41," TRINITY ST (2018867)
 TRINITY ST (2019005)
 TRINITY ST (2018934)
 TRINITY ST (2018449)
 TRINITY ST (2019137)
 TRINITY ST (2018796)
 TRINITY ST (2018729)
 TRINITY ST (2018652)
 TRINITY ST (2019084)
 TRINITY ST (2018591)
 TRINITY ST (2018511)"
LONG LINE, BURNET RD /  W 45TH ST,6/14/2018 5:02, BURNET RD (2015569)
LONG LINE,  5TH ST from   TRINITY ST  to   <br />RED RIVER ST ,6/18/2018 20:24, E 5TH ST (2018887)
LONG LINE,  SAN JACINTO BLVD from   W 12TH ST  to   <br />W 2ND ST ,6/18/2018 20:32," SAN JACINTO BLVD (2018992)
 SAN JACINTO BLVD (2018918)
 SAN JACINTO BLVD (2018429)
 SAN JACINTO BLVD (2018780)
 SAN JACINTO BLVD (2018714)
 SAN JACINTO BLVD (2018637)
 SAN JACINTO BLVD (2019056)
 SAN JACINTO BLVD (2018574)
 SAN JACINTO BLVD (2018495)"
LONG LINE,  BOWIE ST from   6TH ST  to   <br />W 4TH ST ,6/19/2018 2:35, BOWIE ST (2019756)
LONG LINE,  W 4TH ST from   BRAZOS ST  to   <br />RIO GRANDE ST ,6/19/2018 2:53," W 4TH ST (2018866)
 W 4TH ST (2018845)
 W 4TH ST (2018822)
 W 4TH ST (2018803)
 W 4TH ST (2018785)
 W 4TH ST (2018762)"
